,ID,TONALITÄT,TEXTART,DATUM,MEDIUM,THEMA,STIL ZEITUNG,ART,sentiment,TEXT
10,AKK_Facebook_12,2,Facebook-Post,2019-05-19 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Bei der Europawahl — geht es um die konkrete Frage ob wir die Spielregeln in der Welt auf Grundlage unserer Werte wie Demokratie Rechtsstaatlichkeit Menschenrechte und Meinungsfreiheit auch in Zukunft mitgestalten wollen. Gemeinsam mit Manfred Weber kämpfe ich für ein starkes Europa ‡‡ das Sicherheit Frieden und Wohlstand schafft. ‘‰ Die Zukunftsformel lautet: 26.Mai CDU || #JU4EU #JungFreiEuropäisch #unserEuropa #ep2019 #26MaiCDU Junge Union Deutschlands CDU
11,AKK_Facebook_13,2,Facebook-Post,2019-05-19 00:00:00,14,Kommentar zu neuem politischen Vorschlag/ Projekt,,1.0,1,Wir strecken den Sozialdemokraten die Hand aus. Aber es muss eine #Grundrente sein bei der klar ist es geht um die die die Leistung wirklich brauchen. Deswegen brauchen wir eine Bedarfsprüfung. Mehr: https://www.faz.net/agenturmeldungen/dpa/akk-einfuehrung-von-grundrente-noch-2019-moeglich-16194780.html cc CDA
12,AKK_Facebook_14,3,Facebook-Post,2019-05-19 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,0,Die Formel für die Zukunft ist ganz einfach und besteht aus drei Wörtern: 26. Mai CDU! #26MaiCDU
13,AKK_Facebook_15,2,Facebook-Post,2019-05-18 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Von Duisburg aus ging es weiter nach Essen wo heute und morgen die CDA Bundestagung stattfindet. Die Vereinigung innerhalb der #CDU setzt sich für arbeitnehmerfreundliche Rahmenbedingungen ein. Wir als CDU unterstützen diejenigen die jeden Tag morgens aufstehen und zur Arbeit gehen. Leistung muss sich lohnen: Derjenige der arbeitet muss am Ende des Monats mehr Geld haben als derjenige der nicht arbeiten geht. / Fotos: Simon Bierwald
14,AKK_Facebook_16,1,Facebook-Post,2019-05-18 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Heutige Station im Wahlkampf: NRW bei strahlendem Sonnenschein auf dem Marktplatz in #Duisburg. Die Region hat in den letzten Jahren auch stark von den EU-Fördermitteln profitiert. Mit Dennis Radtke hat Duisburg einen engagierten Mann in Brüssel der mit der Region vertraut ist und sich leidenschaftlich für sie einsetzt. Bitte gehen Sie am 26. Mai für #unserEuropa wählen! / Fotos: Simon Bierwald
15,AKK_Facebook_17,1,Facebook-Post,2019-05-18 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Danke Duisburg! Gemeinsam kämpfen wir für ein starkes #Europa! Mit Dennis Radtke haben Sie einen Kandidaten der sich sehr engagiert für die Region einsetzt. #26MaiCDU | Fotos: Simon Bierwald
16,AKK_Facebook_18,1,Facebook-Post,2019-05-18 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Das #Wahlrecht ist etwas wofür Generationen von Menschen gekämpft haben - gerade in #Sachsen! Unsere Zukunftsformel lautet: #26MaiCDU. Ganz einfach zu merken gerne weitersagen! Danke für den herzlichen Empfang in Sachsen heute bin ich unterwegs in NRW. | Fotos: Laurence Chaperon
17,AKK_Facebook_19,3,Facebook-Post,2019-05-14 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,LIVE aus dem Reichstag: Annegret Kramp-Karrenbauer mit dem CSU-Vorsitzenden Markus Söder dem Fraktionsvorsitzenden Ralph Brinkhaus und Landesgruppenchef Alexander Dobrindt. #26MaiCDU
18,AKK_Facebook_20,1,Facebook-Post,2019-05-13 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,In den zwei Wochen bis zur #Europawahl mobilisieren wir noch einmal alle Kräfte. Unsere Mitglieder und Unterstützer kämpfen hochmotiviert für die Kommunalwahlen für Bremen und für ein starkes Europa. Meine Bitte: Gehen Sie zur Wahl. Für Deutschlands Zukunft für starke Kommunen für ein besseres Bremen für #unserEuropa. Wählen Sie CDU! #26MaiCDU / Foto: Hans-Christian Plambeck
19,AKK_Facebook_21,3,Facebook-Post,2019-05-13 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,LIVE: Die Vorsitzende Annegret Kramp-Karrenbauer berichtet aus den Gremiensitzungen der @CDU.
20,AKK_Facebook_22,2,Facebook-Post,2019-05-12 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Wahlkampf im #Saarland! Gestern war ich unterwegs in Püttlingen Freisen-Oberkirchen Gronig St. Wendel-Bliesen Landsweiler-Reden Quierschied und Merzig. Ich habe viele motivierte Menschen getroffen die vor Ort für die #CDU kämpfen. Am 26. Mai CDU wählen! —“‡‡ | Fotos: tokography
21,AKK_Facebook_24,2,Facebook-Post,2019-05-11 00:00:00,14,Kommentar zu neuem politischen Vorschlag/ Projekt,,1.0,1,Die Kommunen sind das Fundament unserer Gemeinschaft und unmittelbarer Lebensmittelpunkt der Menschen. Wir wollen die Regionen starken und landliche Raume weiterhin fordern. #UnserEuropa #26MaiCDU / Fotos: tokography
22,AKK_Facebook_25,1,Facebook-Post,2019-05-11 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Danke an alle CDU-Mitglieder vor Ort die auch bei Wind und Wetter von zu gehen! Für #Sicherheit Frieden und #Wohlstand sowie für starke Kommunen. 26. Mai #CDU! / Fotos: tokography
23,AKK_Facebook_26,1,Facebook-Post,2019-05-11 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Der nächste Stop meiner Wahlkampftour ist Gronig. Am 26. Mai stehen hier die Neuwahlen zum Ortsrat und Gemeinderat an. Die #CDU konnte vor Ort in den letzten Jahren viele Projekte realisieren. Ich bin stolz auf das ehrenamtliche Engagement bei uns in der Region. Am 26. Mai CDU! —‡‡ / Fotos: tokography
24,AKK_Facebook_27,1,Facebook-Post,2019-05-11 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Heute bin ich auf Wahlkampftour im #Saarland. Ich bin begeistert wie motiviert die Menschen vor Ort für die #CDU kämpfen - für die Kommunalwahl und auch für #UnserEuropa. Danke für das Engagement! / Fotos: tokography
25,AKK_Facebook_28,1,Facebook-Post,2019-05-11 00:00:00,14,Privatleben; Persönliches/ Selbstdarstellung des Politikers/ der Politikerin; Persönliche Ansichten; eigene Projekte abseits der Politik,,1.0,1,Der Tag startete für mich bei einem #Kaffee in #Püttlingen mit Franca Lehfeldt (#RTL). Wir haben u.a. darüber gesprochen wie ich meine Arbeit mit meinem Familienleben vereinbare. Das ist nicht immer leicht für mich da ich viel im Land unterwegs bin um mit Menschen ins Gespräch zu kommen. Umso mehr freue ich mich darüber wenn ich zu Hause im #Saarland bin und mit meiner #Familie zum Beispiel im M7 frühstücken gehe. Fotos: tokography
26,AKK_Facebook_29,1,Facebook-Post,2019-05-10 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Das Projekt #Europa ist eine Erfolgsgeschichte. Unsere Eltern und Großeltern hatten den #Mut gemeinsam mehr erreichen zu wollen. Europa ist ein Projekt des Friedens und der #Freundschaft. Gemeinsam mit Manfred Weber wollen wir Europa stärken und unseren Beitrag für Frieden #Sicherheit und #Wohlstand für über 500 Millionen Bürgerinnen und Bürger leisten. / Fotos: tokography
27,AKK_Facebook_30,1,Facebook-Post,2019-05-10 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,1,Wir tragen #Europa im Herzen und wir kämpfen für #UnserEuropa! Sieben Tage die Woche bei jeder Wetterlage. Auch Regenschauer halten uns nicht davon ab. Ich möchte mich bei allen Menschen in Ulm bedanken die trotz Regen und Kälte heute auf dem Marktplatz waren und gemeinsam mit uns für ein starkes Europa kämpfen. Es sind noch 16 Tage bis zu den Kommunalwahlen und zur #Europawahl. Jetzt bitte ich alle Unterstützer die letzten Kräfte zu mobilisieren! Unsere Formel für die Zukunft: #26MaiCDU / Fotos: tokography
28,AKK_Facebook_31,3,Facebook-Post,2019-05-04 00:00:00,14,Kommentar zu internationaler Politik,,1.0,0,Schengen ist nicht nur ein Freiheitsversprechen sondern muss auch ein Sicherheitsversprechen sein! Wir wollen eine bessere Zusammenarbeit und Informationsaustausch zwischen Sicherheitsbehörden in #Europa einen wirksamen Schutz der europäischen Außengrenzen und eine gemeinsame EU-Sicherheitspolitik. #akk #unserEuropa ‡‡#26MaiCDU — ” Unser Europa gibt Sicherheit.
29,AKK_Facebook_33,3,Facebook-Post,2019-05-03 00:00:00,14,"Kommentar zu sportlichen Ereignissen/ Todesfällen/ tragischen Ereignissen weltweit/ Glückwünsche/ Dank an NGOs, Einsatzkräfte oder Organisationen/ Kommentar zu NGO- Arbeit; Kommentare zu Gedenktagen",,2.0,0,#AKK zum Tag der Pressefreiheit: Auch wenn es manchmal nicht schön ist was ich über mich lesen muss: Die Pressefreiheit ist unverzichtbar und gehört fest zu unseren Werten. Ohne Pressefreiheit keine kritische Berichterstattung. Ohne kritische Berichterstattung keine Demokratie. Die CDU steht zur Pressefreiheit “ ohne Wenn und Aber. “ Mehr im Video!
30,AKK_Facebook_34,3,Facebook-Post,2019-05-01 00:00:00,14,"Kommentar zu sportlichen Ereignissen/ Todesfällen/ tragischen Ereignissen weltweit/ Glückwünsche/ Dank an NGOs, Einsatzkräfte oder Organisationen/ Kommentar zu NGO- Arbeit; Kommentare zu Gedenktagen",,2.0,0,Heute ist #TagderArbeit. Der 1. Mai ist immer eine gute Gelegenheit zu schauen: was läuft gut was muss noch besser werden. In Deutschland haben aktuell so viele Menschen wie nie zu vor einen Arbeitsplatz. Die Arbeitslosigkeit ist auf dem niedrigsten Stand seit der Deutschen Einheit. Löhne und Gehälter steigen. Das sind gute Nachrichten am Tag der Arbeit! Aber: Es gibt auch Probleme. Echte Missstände am Arbeitsmarkt die nicht mit den Prinzipien unserer Sozialen Marktwirtschaft vereinbar sind. Wir sehen das gerade in der Paketbranche. Mit einem Gesamtkonzept wollen wir die Situation der Paketboten verbessern und den Wettbewerb für ehrliche Unternehmen stärken. Unser Ziel als CDU ist klar: Arbeit für alle sicher und gut bezahlt sowie fairer Wettbewerb für ehrliche Unternehmen! Heute am Tag der Arbeit und an jedem anderen Tag. Mehr im Video! #SozialeMarktwirtschaft
31,AKK_Facebook_35,1,Facebook-Post,2019-04-29 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,1,Da stimmt das Gesamtpaket. Deswegen ist es ganz einfach: Am 26. Mai #CDU und #CSU wählen! ‡‡ #unserEuropa #26MaiCDU Mehr vom gemeinsamen Wahlkampfauftakt der Union im Video.
32,AKK_Facebook_36,2,Facebook-Post,2019-04-27 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,1,#Unser Europa macht stark und unser Europa ist stark. Bei der Europawahl am 26. Mai geht es um was! @Annegret Kramp-Karrenbauer LIVE im Talk
33,AKK_Facebook_37,3,Facebook-Post,2019-04-20 00:00:00,14,"Kommentar zu sportlichen Ereignissen/ Todesfällen/ tragischen Ereignissen weltweit/ Glückwünsche/ Dank an NGOs, Einsatzkräfte oder Organisationen/ Kommentar zu NGO- Arbeit; Kommentare zu Gedenktagen",,1.0,0,Frohe Ostern!
34,AKK_Facebook_38,3,Facebook-Post,2019-04-19 00:00:00,14,"Kommentar zu sportlichen Ereignissen/ Todesfällen/ tragischen Ereignissen weltweit/ Glückwünsche/ Dank an NGOs, Einsatzkräfte oder Organisationen/ Kommentar zu NGO- Arbeit; Kommentare zu Gedenktagen",,1.0,0,Zum Todestag von Konrad Adenauer einem der großen Europäer: Ich bin Deutscher und bleibe Deutscher aber ich war auch immer Europäer und habe als solcher gefühlt. #unserEuropa ‡‡
35,AKK_Facebook_39,3,Facebook-Post,2019-04-18 00:00:00,14,"Kommentar zu sportlichen Ereignissen/ Todesfällen/ tragischen Ereignissen weltweit/ Glückwünsche/ Dank an NGOs, Einsatzkräfte oder Organisationen/ Kommentar zu NGO- Arbeit; Kommentare zu Gedenktagen",,1.0,0,Anlässlich des 70. Geburtstags unseres Grundgesetzes beschäftigt sich die CDU-Vorsitzende Annegret Kramp-Karrenbauer in der Politischen Meinung der Konrad-Adenauer-Stiftung mit dem Thema: Ordnung muss sein aber welche? Der Ruf nach Ordnung könne kein Selbstzweck sein. Es gehe für jeden menschlichen Zusammenschluss nicht um die Frage: Mehr oder weniger Ordnung? Es geht um die Frage: Welche Ordnung? Es geht um das Fundament auf welchem sich die Ordnung gründet. Und es geht um das Ziel welchem die Ordnung dient so #AKK. Lektüretipp für die Feiertage ‘‰ https://www.kas.de/web/die-politische-meinung/artikel/detail/-/content/ordnung-muss-sein-aber-welche
36,AKK_Facebook_40,1,Facebook-Post,2019-04-16 00:00:00,14,Bewerbung/ Unterstützung/ Verteidigung/ Kritik der eigenen Partei/ eigenen Partei- Mitgliedern; Darlegung der eigenen politischen Prinzipien,,2.0,1,Als ehemalige langjährige Kommunalpolitikerin habe ich größten Respekt vor allen Frauen und Männern die sich in der Kommunalpolitik engagieren. Kommunalpolitiker sind das unmittelbare Bindeglied für die Landes- über die Bundes- bis hin zur europäischen Ebene sowie tägliche Ansprechpartner direkt vor Ort “ und das meist im Ehrenamt. Das ist wahrer Dienst an unserer Demokratie!
37,AKK_Facebook_41,3,Facebook-Post,2019-04-13 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,1.0,0,Wir wollen dass #Europa auch in #Zukunft eine starke Rolle in der Welt spielt. Um für unseren Werte Frieden und Menschenrechte made in Europe weltweit einzutreten brauchen wir ein starkes Europa. #AKK gestern Abend in #Eslohe. #UnserEuropa / Fotos: Laurence Chaperon
38,AKK_Facebook_42,2,Facebook-Post,2019-04-05 00:00:00,14,Kommentar zu internationaler Politik,,2.0,1,Unser Europa schafft Wohlstand. Unser Europa gibt Sicherheit. Unser Europa sichert Frieden. Für Deutschlands Zukunft. #UnserEuropa.
39,AKK_Facebook_43,3,Facebook-Post,2019-04-04 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,0,Bei der Europawahl kommt es auf uns an: Wenn wir uns auf einen Wahlkampf einlassen wie ihn die Populisten gerne hätten betreiben wir deren Spiel. Alle Umfragen sagen klar mehrheitlich: Die Menschen wollen Europa. #unserEuropa Das ganze Interview mit Annegret Kramp-Karrenbauer im stern!
40,AKK_Facebook_44,3,Facebook-Post,2019-03-31 00:00:00,14,Kommentar zu internationaler Politik,,1.0,0,Es geht darum #Europa für die Zukunft stark zu machen. Darum dass wir weiterhin in Wohlstand Sicherheit und Freiheit leben können. Und dass wir in der Welt die Spielregeln auch mitbestimmen. #AKK im Interview mit der WELT am Sonntag (Hamburg-Ausgabe).
41,AKK_Facebook_45,1,Facebook-Post,2019-03-28 00:00:00,14,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,1.0,1,#GirlsDayXCDU: Heute haben Mädchen und junge Frauen das Konrad-Adenauer-Haus besucht. Hier haben sie Einblicke hinter die Kulissen der CDU erhalten: Wie arbeitet eine Partei? Welche Abteilungen und Berufe gibt es hier? Sie haben #AKK interessante Fragen gestellt ob sie das Gefühl habe als Frau in der Politik anders behandelt zu werden als Männer oder wie die #CDU die Klimakrise angeht. Danke für das Interesse wir brauchen junge und engagierte Frauen in der CDU um #Volkspartei zu bleiben.
42,AKK_Facebook_46,2,Facebook-Post,2019-03-25 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,1,#UnserEuropa macht stark. Für Sicherheit Frieden und Wohlstand. Das Wahlprogramm von CDU und #CSU ist ein Papier mit Visionen und realistischen Perspektiven. Mehr im CDU.TV-Interview mit mir und Markus Söder!
43,AKK_Facebook_47,3,Facebook-Post,2019-03-25 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,0,#CDU und @CSU stellen das gemeinsame Programm zur Europawahl vor “ live mit @Annegret Kramp-Karrenbauer @Markus Söder und @Manfred Weber! #unserEuropa
44,AKK_Facebook_48,3,Facebook-Post,2019-03-24 00:00:00,14,Bewerbung/ Unterstützung/ Verteidigung/ Kritik der eigenen Partei/ eigenen Partei- Mitgliedern; Darlegung der eigenen politischen Prinzipien,,3.0,0,Die CDU ist und bleibt die Europa-Partei in Deutschland. Mehr in DER SPIEGEL
45,AKK_Facebook_49,3,Facebook-Post,2019-03-23 00:00:00,14,Kommentar zu internationaler Politik,,1.0,0,Europa ist die Voraussetzung fur Frieden Wohlstand und Sicherheit in Deutschland. Heute in DER SPIEGEL
46,AKK_Facebook_50,3,Facebook-Post,2019-03-16 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,0,Es geht um unsere Vorstellungen von einem starken Europa das Frieden und Sicherheit gewährleistet aber auch Wohlstand und Zusammenhalt garantiert habe ich im Interview mit der Rheinischen Post über unser Europawahlprogramm gesagt. Es geht auch darum dass Europa vor großen sicherheitspolitischen und ökonomischen Herausforderungen steht und sich im Systemwettbewerb behaupten muss. Mit unserem Europawahlprogramm zeigen wir einen eigenständigen europäischen Weg auf den wir gehen wollen. Das ganze Programm stellen wir gemeinsam am 25. März vor. #unserEuropa
47,AKK_Facebook_51,3,Facebook-Post,2019-03-12 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,0,#unserEuropa
48,AKK_Facebook_52,3,Facebook-Post,2019-03-11 00:00:00,14,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,4.0,0,Um 09:15 Uhr live bei WELT TV zu meinem Europa-Plan oder hier im Livestream: https://www.welt.de/tv-programm-live-stream/
49,AKK_Facebook_53,3,Facebook-Post,2019-03-10 00:00:00,14,Kommentar zu internationaler Politik,,1.0,0,Der französische Präsident Emmanuel Macron wandte sich an die Bürger in #Europa. Es müsse dringend gehandelt werden. Darauf kann es nur eine Antwort geben: #unserEuropa muss stärker werden. ‡‡ https://www.cdu.de/artikel/europa-richtig-machen-getting-europe-right ‡‡
50,Lindner_Facebook_1,3,Facebook-Post,2019-05-29 00:00:00,15,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,1.0,0,Wem gehört das All und welche Chancen bzw. Risiken gibt es beim Vordringen in neue Sphären? Darüber diskutiert CL am 4. Juni 2019 mit Experten im Zeiss-Großraumplanetarium in Berlin. Ihr wollt dabei sein? Meldet euch an unter: neuzeitstimmung.fdpbt.de TL
51,Lindner_Facebook_2,3,Facebook-Post,2019-05-29 00:00:00,15,Kommentar zu internationaler Politik,,4.0,0,Margrethe Vestager wäre eine vorzügliche liberale Präsidentin der Europäischen Kommission. Sie hat bereits als Wettbewerbskommissarin das Steuerdumping von Apple in Irland unterbunden und den Missbrauch von Marktmacht durch Google bekämpft. Deshalb fordere ich die Grünen auf Frau Vestager zu unterstützen. Als kleinere Fraktion haben die Grünen keinen eigenen aussichtsreichen Kandidaten. Mit ihrem Support würden aber Margrethes Chancen steigen. Unter anderem darüber habe ich mit der WELT gesprochen. CL
52,Lindner_Facebook_3,5,Facebook-Post,2019-05-27 00:00:00,15,Kommunikation mit anderen PolitikerInnen/ Parteien über Facebook/ Twitter; Kommentar/ Kritik/ Lob über andere PolitikerInnen; Frage an andere PolitikerInnen; Kommentar gegen oder an politische/ ideologische Gegner,,4.0,-1,Die CDU zieht Schlüsse aus dem Wahlergebnis - Annegret Kramp-Karrenbauer erwägt die Regulierung von Meinungsäußerungen vor Wahlen... Das kann ich kaum glauben. Wir brauchen im Gegenteil mehr offene Debatten auch in Sozialen Medien. CL
53,Lindner_Facebook_4,3,Facebook-Post,2019-05-27 00:00:00,15,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,Jetzt LIVE: CL mit Nicola Beer und Lencke Steiner nach den Wahlen! TL
54,Lindner_Facebook_5,3,Facebook-Post,2019-05-26 00:00:00,15,"Ankündigung oder Livestream von Pressekonferenz; Ankündigung von Veranstaltungen; Zitate und Bilder von Pressekonferenzen, Veranstaltungen und (Live- )Statements",,2.0,0,Jetzt LIVE: CL zu den Ergebnissen in Europa und Bremen. TL
55,Lindner_Facebook_6,3,Facebook-Post,2019-05-26 00:00:00,15,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,1.0,0,Europa ist für mich die Garantie für Freiheit Werte Lebensstil und Wohlstand in einer Welt im Wandel. Damit das auch so bleibt müssen wir die lähmende Große Koalition in Brüssel abschütteln und endlich mehr Tempo reinbringen. Wir sind für ein Europa das so gut ist das alle wieder dabei sein wollen. Ihr auch? Dann heute wählen gehen! CL
56,Lindner_Facebook_7,2,Facebook-Post,2019-05-25 00:00:00,15,Wahl; Wahlaufruf; Danksagung nach Wahl; Wahlergebnis/ Kampagne für Wahl,,2.0,1,Morgen wird gewählt - letzte Fragen? ” Live vom Balkon. CL
