id,text,text_short,emotion_gold,worry,anger,disgust,fear,anxiety,sadness,happiness,relaxation,desire,nchar,ntok
11,"I am worried that i could gt it and annoyed at the people who are not caring and are still going out socialising. They do not seem to understand that they could be carriers of the virus and could kill someone else with their stupidity, I am having to stay at home due to an autoimmune illness so why can't they. I think this will go on for a longer than it needs to unless there is a lock down that stops people doing what they want to. I am worried and scared as I do not want to die because of someones else being careless. ",This will not end until people listen and do not socialise. #Corona,anxiety,7,4,4,7,8,4,3,3,1,526,111
12,"I feel lonely as can't meet up with friends and family and miss them. I feel fearful as worried about me, my family or friends getting the virus. I feel slightly sad as nothing to look forward to as not sure how long this will be going on for, can't seem to get excited about anything as there is nothing planned. I'm hopeful that things will improve in the future and hopefully life will get back to normal. The news is depressing and not sure if it is being exaggerated or whether it is the truth, no nice news coming out",News on the corona virus is depressing #fearful,fear,7,4,2,8,8,5,5,4,2,523,108
13,"I am both frustrated and anxious about how some people are ignoring the lockdown rules. I want to have hope but just cant see it at the moment and instead have an overwhelming feeling of despair. If attitudes don't change soon they may either go on until next year or never get any better.
As a key worker myself (as well as my wufe) I am constantly anxious about infection and bringing it home to my children. It is a horrible situation to be in when you are constantly scared to do your job or be suspicious of your coworkers and be worried about working with them","I'm scared, anxious and frustrated about Corona virus and about being in public and doing my job",anxiety,7,2,1,4,7,2,4,6,2,566,113
14,I am very worried about me and my family getting coronavirus and getting seriously ill and dying. I am also worried about my partner losing his job and struggling financially.. I am finding is stressful having my daughter off school and not knowing when she will be going back. I also have a newborn which I think makes the situation more stressful and I think is affecting my mental health as I have lost my support network. Not knowing when the lockdown and restrictions are going to end is hard to deal with and knowing it will probably be for a while.,"So done with Coronavirus, can we just skip this year?",anxiety,7,4,2,3,6,3,5,2,2,555,108
15,"I am angry due to the fact that people are unaware of the fact that Corona virus is a common flu virus and anybody who has got flu in the past will still have it in their body.  There is no test out as yet for covid19 (if there is any virus like that at all).  The figure of people infected is just magnified artificially as """"""""""""""""tested positive"""""""""""""""".  The cause of death despite of being from other health factors/condition is classified as covid death.  This pandemic is a global cover up for something more sinister.",Is this pandemic caused by a Corona virus? Think again!! The fact that most of us who have flu in the past will have corona virus in our body. Does covid19 even exists? or is this is a cover up of something more sinister.,anger,4,8,1,2,2,2,4,6,6,513,108
16,"With the current coronavirus situation, I am more worried in regards to my assessments for my Master's degree more than possibly becoming infected with the new coronavirus. My university had one of the first recorded cases in my area and so had decided to stop face-to-face lectures and halted laboratory work as well before the government introduced the lockdown regulations. I am also more concerned that my family/friends may become infected with it and that it could become severe, possibly damaging their health in the long-term.","Although the coronavirus situation is severe and has impacted everyday life, it will get better over the long run. Its effects will be limited to the immediate future and as a society, we will overcome it.",relaxation,6,2,2,3,4,4,6,7,6,534,93
17,"It's very frustrating and when I think of how long we all have to stay apart I get annoyed. Also the fact that you can't physically go shopping, or get a Mcdonalds or anything is annoying. All because China can't be trusted. They've done it many times before creating pandemics, and they're pretty much the only country that has. You wouldn't see huge flu pandemics originating in the United Kingdom! There should be laws placed on the things they do in that country. 

However at this precise moment I am trying not to think about it too much so I'm fairly relaxed. I don't really watch the news, go on Facebook etc because it's all people can talk about and I've had enough of seeing it.",If certain countries didn't start pandemics all the time we wouldn't be in this situation. Also our government is about as useful as a chocolate teapot. Take a leaf out of Germany's book I say!,relaxation,6,2,2,2,3,3,5,7,2,689,137
18,"I feel incredibly hopeless. As a single person who is around an age when they really should be finding someone, it feels like wasted time. People who are in relationships and married at least have someone they can confide in during this situation. 

I wake up with a sense of resignation, knowing that I won't see anyone or do anything interesting. One of the only good things is that I can work from home and for me this is so much better. I don't have to worry about commuting, so I don't waste that extra time and money. I can now focus on hobbies such as learning languages.",Feeling hopeless and incredibly lonely during this difficult time.,anxiety,6,2,2,6,8,8,2,4,3,578,118
19,"I am not worried about the effect of coronavirus on those that I love or myself. I am sad for all those who are suffering in all kinds of ways not just from coronavirus but also from the efforts being made to deal with it. I am also angry about the lack of resources and capabilities to deal with this pandemic

I am worried about how this pandemic will be brought to an end and the longer term impact of the pandemic on society, the ecomony and individuals. I for one will live my life differently as soon as I am able to.",How is this going to end? Life will never be the same again.,sadness,6,6,2,3,6,8,2,3,3,523,108
20,"I have conflicting feelings.

What's happening in the world is horrible, there's no doubt about that, it incredibly sad to see and hear of so many deaths in the world because of this awful disease and I really do hope that we find a way to contain/cure this soon and save as many lives as possible.

Looking for a silver lining, however, I'm working from home and my mental health has massively improved because of it. My day usually involves waking at 5am, driving 30 miles to work usually stressing out in traffic, and once I get to work I'm tired before I've even started, then I have to do it again in the evening, usually getting home late in the evening, not having time to cook properly because I just want a few hours on the couch to switch off before I have to go to bed and get up at 5am again.
With my current working from home situation, I'm getting twice as much sleep as I normally do (usually only get around 4 or 5 hours tops), I'm not stressed and tired from driving for over an hour, I'm able to switch off at a reason time in the early evening and actually cook healthier meals, spend more time with my partner etc.
So although the whole reason we're in this mess is awful, by being forced to stay home and work, my mental and physical health has hugely improved.","Praying for all of the family affected by this awful disease, and that we find a cure soon. Huge respect to the key workers keeping us safe during this difficult time. Stay home, save lives!",relaxation,7,3,5,3,4,6,2,6,3,1282,268
21,"I feel sad about the people who are ill and have died. The situation doesn't seem to be improving. all the people out of work. The world is going to be in a right state when everything gets back to normal. Airlines, Travel companies, pubs and shops will all go out of business.  I am sick of lock down. it is boring nothing open nowhere to go. The weather is nice now and all you can do is sit in the garden .I hope the situation improves soon or everyone is going to go crazy. It is hard to keep busy and I hate sitting around doing nothing, Watching TV. The days just drag. ",Deepest sympathy to the victims of corona virus and their families and thanks to all the nurses and doctors doing their best for the victims. I am also worried about the state the world is going to be in  when everything gets back to normal. Loads of unemployed people  lost jobs.,sadness,4,3,3,2,3,8,3,3,3,576,128
22,"I think it's an incredibly sad situation that the world will take a very long time to process and recover from. I think it is essential we learn from this and invest more heavily in healthcare and scientific research, whilst also increasing political pressure on countries that fail to adhere to ethical practices. 

I wish there was more I could do to help, but at the moment I think the most important thing is to stay inside and refrain from social contact with others. I hope this is over soon and things can return to normal","It's a very sad situation with everything happening concerning coronavirus, I hope the situation improves soon and things can go back to normal. Please stay inside.",anxiety,6,5,3,6,6,5,5,5,5,529,101
23,"I am anxious as to how the symptoms would present for myself, my friends and family as no one really knows the level of severity you would experience until you get it. I am relieved there has been a drop in deaths today however there are many more days to come and we must not be complacent. I worry about my husband who still has to go out to work. I am angry at those people who choose not to follow social distancing instructions. I am happy myself and my children and wider family are currently safe.",Anxiety rules my head. Hope fills my heart.,anxiety,7,2,2,5,8,6,5,4,3,504,103
24,"I am very anxious about the situation and that myself and my family may get ill.  I am also concerned about the financial impact, both personally and for the economy.  I long to go back to 'normal' and the freedom that we all didn't appreciate.  I long for no more suffering and no more deaths.  I am very worried and concerned.  I am desperate to protect my family and keep them safe and I am trying my hardest to do this therefore I am stressed, tired and anxious a lot but trying to put a brave face on for my children.",Please #stayathome protect yourselves protect others protect the NHS,anxiety,8,4,3,7,8,7,5,3,6,522,111
25,"I am very worried about the future.I have 3 part timejobs but i'm not getting paid or furloughed from any of them at present I have diabetes so i'm classed as at risk..My daughter is stuck over 100miles away and a have lost a friend and relative in the past week . My brother lives in the USA where things are getting worse.The uncretainty is the worst part,nothing like this has happended before so no one knows what the future holds. Cant think of anything else to comment on at present, this is like doing an English assisgnment",too much uncertainty,anxiety,8,4,2,8,8,6,5,3,1,531,105
26,I feel very anxious as it’s an uncertain situation and not sure how long this will last or what future implications will be. I am scared and wonder how it will affect everyone. I think people aren’t taking this seriously but the government should put orders out rather than instructions as there are people that think they will be the only ones going out etc. but that isn’t the case. I don’t understand how people are thinking like that or why people are letting them go out etc. as I know that if I said something about going out or whatever that people would tell me to stay in and hold me accountable.,People need to start acting like they or their loved ones do have Corona rather than thinking that it won’t happen to them.,anxiety,9,5,5,7,9,7,2,2,1,606,119
27,"A confusing time with many contrasting thoughts. Future seems extinct and very lonely, sad, skint and worried. The uncertainty is the worst thing. I feel the big businesses and banks and super rich will be the only beneficiaries of this. A cruel world. I feel like its dog eat dog and the only way is to be ruthless. The government have been indecisive, however I think they are just puppets dancing to the pied piper. How much longer can we go on? What will the country and indeed world look like after this? Are these measures necessary?","Looking at a game of who goes hungry first, where the survivors will be the richest and most privileged. Government packages seem to be an underhand way to reduce the welfare bill and an epidemic of greater proportion than the virus to follow. ",anxiety,7,8,6,9,9,7,2,3,5,539,110
28,"I’m Feeling a bit worried and anxious about corona. I’m concerned that my sister will catch it and be seriously ill or die as she has congenital heart disease. I’m also feeling bored at being cooped up in the house. every day is very repetitive with the same activities and I feel that life is just passing by.

I am also annoyed at people who are carrying on as if nothing is happening as they are spreading the virus and will make us all stay in lockdown for much longer. I am annoyed at people going shopping to unnecessary shops to buy items that are not essentials. ","Stay at home protect yourself, your family and others. The longer you don’t listen the longer we all suffer #stayathome",anxiety,6,2,1,5,5,3,2,4,2,571,113
29,I fear that someone in my family will get the virus. I am worried for my children if I were to get it. I am anxious about being able to provide enough food for my family. I am anxious about having enough  money to pay my bills. I try to keep my anxiety and worries to myself so my children aren't affected but they are missing their grandparents and friends. I am worried about what will happen afterwards - if my job will be safe. The economy will surely suffer and no one knows how long it will take to recover.,#nervouswreck,anxiety,7,2,6,7,8,6,1,1,1,513,108
30,"I am pleased that people have stopped panic buying but all this stuff going on with the US stealing masks destined from other countries isn’t constructive at all. I am still relatively relaxed about the situation, but I have switched to online shopping but still try to get out when I need something essential but I just go into the garden for some exercise. I think the peak should come soon, and I, like many others, will most definitely be looking into holidays and trips for afterwards. When it does all finish, I hope people will support local business as much as possible.","The peak is near and I just wish people would stay in unless they have to go out, so we can all work together and get this over and done with.",anxiety,3,2,3,4,5,3,7,8,6,578,112
31,"I feel anxious about what might happen next. There is so much uncertainty. I am worried for friends and family. I wonder how long lockdown will last. I worry they will take away our ability to exercise once daily as it’s something that helps with my mental health. However I am fortunate to have a garden and understand that we need to protect vulnerable people and our NHS.
There is a lot of misinformation which is very frustrating. A lot of squabbling about hoarding and how long it is appropriate to exercise for. It’s difficult to tear myself away from social media and news - I know it’s not helpful for my mental health, it’s exhausting but it’s compulsive. ","Coronavirus is stressful, anxiety-inducing and exhausting. We must look after ourselves, other people, and protect the NHS",anxiety,7,3,1,7,8,4,7,5,4,665,129
32,"Life would be simpler without this. Life would also be simpler if we had a Government who were even borderline competent! I'm very concerned about the health of my elderly relatives (my mother-in-law is currently in hospital with CV, and my mother -- who is in a nursing home -- is showing symptoms which may be it). I'm also annoyed that the virus has taken away many enjoyable things -- like the celebratory dinner party I was supposed to be holding last weekend, and the holiday I was due to leave for tomorrow.",Fuck coronavirus!,anxiety,7,5,4,6,7,5,3,2,3,514,101
33,"Mixed emotions at the moment. It's my husband's birthday and we had some good news too that will help us to cope financially, so feeling happy about that. Feeling very anxious about the coronavirus in general. My husband is a """"""""""""""""key worker"""""""""""""""" so there is a chance he could infect us even though the rest of the family are staying at home. I'm worried for people's health, that their relatives might die, their financial situations, and I worry for my mum. I don't know when she will be able to leave the house again. ","Feeling anxious about coronavirus. Worried for my job and for the economy, worried about family and friends. Praying that the NHS will cope and hope all the staff can get the equipment that they need ",anxiety,6,1,1,4,6,3,6,5,1,515,108
34,"i am scared my anxiety is through the roof as i am a vulnerable person. I am angry at people that are not listening or taking heed of the goverment advice and guidelines. I am scare of what this means for the world now how different things will be in the future. I am anxious that a vaccine will not be found soon enough . 
I am angry that vulnerable adults are being asked and may not get ventilation should they need it die to a lack of ventilators. I am worried what it means for our children they are missing out on so much both ediication seeing their freinds etc.",anxiety through the roof,anxiety,9,8,8,9,9,9,3,1,1,569,116
35,"It feels like we've all been driving along on a coach journey and suddenly we all have to get off and sit in the service station, for an unknown period of time. No-one can tell us when we can get back on the coach again, and continue as before. 
The days start to roll into one another and you lose your footing, but at the same time you're enjoying the quiet, and the slower pace of life, while missing the things you usually do. 
Italy is worrying, with its disproportionately high number of victims. And also the PM being ill and hospitalised. ","Indoors. In need of sunshine. But enjoying reading, watching films and rediscovering hobbies. #surrealsituation",anxiety,5,2,3,5,6,4,4,5,1,547,113
36,"I'm worried. I'm missing my family, I normally see my parents, sister and nephew every week at least and I haven't seen them for a few weeks now because of this. I'm worried about my finances and my family's health. My son wants back to school. It's scary and many people aren't taking it seriously enough and are still going out. I'm furloughed right now and I'm thankful that for now I still have a job but it's an ongoing worry about what will happen in the future, depending on how long this situation goes on for. ",Worried about the general state of things re covid19. Worried for my family and loved ones. Miss them too.,anxiety,9,3,1,8,9,9,5,4,1,519,106
37,Its making me sad seeing the numbers come in everyday and seeing the nurses and health care staff that are dying as they don’t have the protective equipment and access to testing. I’m also a key worker and it’s a very stressful situation and frustrating when people don’t listen to the government and are still going out and seeing friends or going to look around shops because they are bored. I’m hopeful for better testing in the coming weeks. The U.K. daily briefings are helpful and informative at this time,Please stay home.,sadness,7,6,3,6,5,8,2,5,3,512,94
38,"Incredibly sad that the world will never be the same again - and fearful for what will remain when we leave lockdown.  The isolation didn't bother me at first but living alone can be a lonely experience.  It is the not knowing when normal life will resume that is the most difficult aspect of this whole thing to comprehend and absorb.  

I feel terribly sorry and appreciate all the good work that all of our emergency services are currently doing - From the nhs to the police to all retail employees - they are making a horrible situation bearable for everybody else, and putting themselves at risk whilst doing it - This is a really thankless task that they are undertaking and we all really appreciate it",So sad to be at home but fully understand why this needs to be the case.  Hopefully we all appreciate what we have when the world eventually goes back to some sort of normality,anxiety,8,5,4,8,9,8,2,4,1,708,131
39,"I am concerned for the ill and especially the vulnerable who may suffer in the future. I am also sad about the poor government preperation and response to the pandemic - I believe that its effects in the UK would be less had preventative actions been taken.

I also think the media response has been somewhat mixed. While it is indeed sad that the Prime Minister is in hospital suffering with the corona virus, he and his government have consistently damaged the NHS's ability to act correctly and his own lacklustre leadership has only cemented this. His """"""""""""""""herd immunity"""""""""""""""" strategy all of a sudden doesn't seem so smart when he and his ministers realise their wealth and power doesn't put them above the rest of the herd, does it?","Sad for all those currently affected by the Corona virus - hope you, your loved ones and everyone else stays safe & well.",sadness,4,2,1,3,2,4,1,1,1,731,140
40,"I have just got back from a shift at a small rehabilitation hospital. It's fine at the moment, everything carrying on as normal.  No suspected or confirmed cases but everybody is waiting for the 'storm' to arrive. PPE is not available in quantities. We are being asked to use the same mask all day when it should be changed every 30 minutes at least.  This goes against infection control procedures which we are used to using and is worrying  for when we do get confirmed cases. It feels like the NHs is not fully prepared in the area where I live. ",I am carrying on with my life but I have a big cloud hanging over me.,relaxation,7,2,1,6,7,4,3,7,1,549,111
41,"I feel calm and sensible. I understand the risks and I follow the NHS guidance of limiting my time outside of my home and practising social distancing when I am out and about. 

Covid-19 will be with us for a long time and we must be calm and rational in how we deal with everyday life.

I am currently working from home with ease. I keep in regular contact with work colleagues and friends and family using video conferencing. I live with my wife, so I don't suffer from any self-isolation issues. We have regular chats about the current situation. 

I feel wider society need to play their part by respecting the rules of social distancing and not leaving the home for unnecessary trips.

I feel that after this crisis is over key workers and NHS staff will be more valued than ever. ","I feel calm, focussed and relaxed. I am proud and respectful for all those on the front line of the NHS but feel frustration and disappointment for those in society that choose to ignore the rules of social distancing. Stay home, Save lives....it's not that hard to do!",relaxation,6,1,1,1,1,1,5,9,1,786,153
42,"There is a lot of misinformation in social media and people believe it which is very frustrating, if people were more educated and properly understood and didn't believe this false information we would be in a much better position. The stay home guidance is effective in some areas but there are too many people flouting this for reasons not defined as exceptions and just leading their normal lives without realising they are going to make this worse for everyone with their selfish behaviour. I am concerned as I am severe risk if I catch COVID-19 and I am therefore taking all precautions I have to but simple things like getting an online delivery is challenging, supermarkets still say I haven't been recognised as vulnerable even though I have had letters and texts saying I am. I understand this is unprecedented but I do feel it could still be handled better.","Stay home, don't be an idiot, don't believe everything you see no social media ",anxiety,5,2,2,3,5,4,6,7,6,867,156
43,"I am really worried, worried about how it is going to affect my finances, my husband's job. my own earnings, my investments.  I am concerned about my daughter missing school as she has GCSE's next year, my older daughter missing her life and studies at universities, she is depressed as she is missing her boyfriend.   I am fed up myself of staying in, constantly cooking, not being able to meet my friends etc.  The worse thing is not knowing when it is going to end.  I know that death figures have gone down in the UK today but I am just worried how long we are going to be like this","fed up of staying up, but its got to be done #staysafe",anxiety,8,4,3,7,7,7,2,6,1,586,123
44,"somewhat anxious but doing my best to stay balanced. I hope we won't be affected, we are following the recommended advice in order to stay safe. Not sure what else I can say. It is worrying but we are adapting to the situation. It is frightening hearing some of the details, and it can also be annoying to hear of people behaving in helpful ways, and to have to listen to colleagues boasting of their isolation activities. I wonder how long it will go on for and hope we can cope. we are trying to be brave","keep calm, carry on, look after those you care about",anxiety,4,3,4,6,7,6,2,2,2,506,106
45,"Worried about the government response especially now Boris johnson is in intensive care and unable to lead the country. Nurses and medics are dying and there is not enough personal protection equipment to keep staff safe. I feel quite anxious and stressed about the future and the impact on my family particularly my children who are in their twenties.
My elderly mother and my father in law are both self isolating and they are lonely and no real idea how this will end. The ecomonic impacts will be felt for a long time after the pandemic has passed. ",I see no end in sight and worry for the future,anxiety,8,6,3,7,8,8,2,3,3,553,103
46,"I am very worried for my families health as we have a number  members with poor health. Can see not end to this and feel like I am helpless to keep my family safe Also worried about the long term effect this will have on all of our daily lifes. So overwhelmed with the amount of news and information come towards us every day frighten I missed the important bit that keeps use all safe.
Very confused as what the best thing is to do not my family also. 
Feel so helpless and also amazed how poorly so many Governments have dealt with this issue.","Worried, Scared and anxious about how we are all going to survive this safely and have a good future.",fear,8,7,4,9,8,8,2,2,1,545,110
47,"I am fortunate that I can work from home but I do still worry about the long term affects that it may have on our business and in turn my and my colleagues jobs. More than that though I am concerned about the health if my family and those most vulnerable in society. I hope that there is an end in sight at some point, even if it is many months away. Things like antibody tests will help, and personally I would be very keen to be tested to find out if I have had the virus and whether I am part of heard immunity.","Anxious and concerned about how long the lockdown  may be necessary and the people that are ignoring the instructions to stay at home, putting us all at risk and prolonging the measures.",anxiety,8,5,4,7,8,7,4,5,5,514,111
48,I feel that my govenment is doing a good job to try to bring the situation under control.  I feel anxious to know when this will end but calm that my family will be ok as we are at home and not putting ourselves and others at risk.  I feel anxious about other members of my family that I can't see at the moment but we are in regular contact.  I also feel annoyed at people who don't follow the lockdown rules as they are putting others at risk.  I am thankful to all the people who are still working and putting themselves at risk.,"Hopeful the lockdown won't last too long, but anxious for people to stay at home and follow the rules.  Thanks to all the NHS staff and other key workers still working.",anxiety,7,2,1,5,7,5,1,3,1,532,110
49,"I'm quite relaxed about the situation - we're fortunate enough to have a roof over our heads, are able to work remotely, have sufficient food, and contact with family and friends.  If we all follow the lockdown guidelines and maintain social distancing, we should be able to see the end of this crisis in due course.  There is little point worrying about it, as it's completely out of my control.  I also feel that I have to lead by example to my elderly parents, and my team at work - by being fairly laid back about it while staying at home.","Working from home, covered in cats, and easiest commute ever!  Have I got enough wool to keep me knitting through the lockdown? #HappyAtHome",relaxation,8,1,1,2,2,1,6,8,2,543,111
50,"At this moment in time I have by now accepted the huge changes that this pandemic has bought about in my personal/family life. I feel anxiety about the potential of the disease to affect any of my family and friends, but the anxiety about loss of work/schooling/uncertainlty over finances/holidays etc has subsided with my acceptance of the situation. I am focussed on playing my part in beating this virus. To some degree I am enjoying taking the time to take in the simple things - family time, walks, spring, birdsong, peaceful roads.",Acceptance that I need to play my part and resolve that we will get through it together.,relaxation,8,1,2,4,4,3,6,7,2,537,109
51,"I feel worried about my job, my children and my family’s health. I am concerned that this may go on for a long time and that the chance to buy a house will not be possible.
I don’t know anyone who has illness and I am concerned that my friends may catch it and be very poorly due to existing health issues. I am a single parent and if something happens to me the children would go to live with their father who is completely feckless. 
 I am enjoying having no deadlines and the freedom that that brings but I miss the structure of the day when I was working and the children were at school. 
I’m concerned that the children will fall behind in maths and English but I am enjoying doing things such as baking and gardening that we wouldn’t usually have time for.
","I’m worried about the future, even though there are positives I can take away from this I know my life has been set back for who knows how long. ",anxiety,7,6,2,8,9,8,4,6,2,763,153
52,"I am fearful for the health of two relatives; one my husband who has many health issues and I suspect would not survive if he were infected by COVID19; also my daughter in law, a young mother of two, who has cystic fibrosis. We are self isolating ( in two separate households) and feel relatively safe at the moment, but until a vaccine is available, the threat will remain. We expect scientists to achieve this within a year. I'm so glad we have the internet and phone to keep in touch with family, and would feel distraught if these lines of communication were cut. We are so far doing supermarket shopping online but slots are becoming harder to secure so the future is uncertain.",COVID19 is a threat to us all,sadness,8,2,2,6,6,7,4,5,5,683,137
53,"I don't like lockdown and look forward to being free to go where I like. I am constantly confused by the statistics and analysis and am not totally convinced that this strategy is necessary although I comply with it. There is a background concern that I may get it despite all the precautions and I Sorry that members of my can't may become I'll.
It surprises me that there is not a global response in place for this pandemic since it has been a concern for the who.
I am also puzzled that countries like Germany are reporting low mortality rates whilst other European countries report much higher rates. It's the same virus and similar populations.

",Concerned for the well being of my family and concerned to understand some consistent and provable statistics,anxiety,7,3,4,5,7,3,2,1,1,651,122
54,"Completely fed up with the whole situation and feel that it could of been avoided by China.
If they had closed their borders and stopped all travel to and from the country there would be no problem, but instead they were bad at handling the situation and now everyone has to suffer.
There always seems to be a problem with virus's coming out of countrys like that so maybe they should be held accountable for all the issues people have faced due to this.
It has made the whole world panic and have to adjust to being stuck at home all the time and even people have lost jobs due to this.",Fed up with it all.,anxiety,8,6,3,6,8,4,2,4,2,587,117
55,"I feel very annoyed about having my freedom taken away. I am sick of being stuck at home with my children. I think it’s an over reaction. I feel the huge loss of jobs, the crumbling economy and the impact on cancer patients not getting treated, is just so we can stop eighty year olds from getting the virus and potentially dying. The elderly and those with underlying health conditions should stay home rather than the entire country. People should be given the choice. How long can this go on for and when are we getting an exit date?",Let people choose whether they want to self isolate or not,anxiety,6,6,7,7,8,6,1,2,1,536,108
56,This seems to be blown out of proportions and the fear is used to introduce new laws etc. I do not think this is anything more than common flu and the big media campaign has been manufactured to create fear in the population. I stay away from media hysteria and don't need to leave the house to work so my life has not been affected and I'm looking at the outcome the lockdowns are going to create worldwide.This seems to be blown out of proportions and the fear is used to introduce new laws etc. I do not think this is anything more than common flu and the big media campaign has been manufactured to create fear in the population. I stay away from media hysteria and don't need to leave the house to work so my life has not been affected and I'm looking at the outcome the lockdowns are going to create worldwide.,Stay away from the media,relaxation,1,1,1,1,1,2,5,6,1,816,160
57,"I find myself feeling quite short tempered and anxious. I feel that """"""""""""""""life is on hold"""""""""""""""" at the moment, and there is nothing I can do about it.
I feel upset that I have had to cancel my holiday in May, and frustrated not knowing when life will return to some sort of normality.
I would like to be able to see my granddaughter, and to help my son and his partner move house, but I don't think I will be able to.
It is very frustrating. I have re-booked my holiday for next April, I hope I will be able to go then. I also hope that I will be able to go to visit my Son, his partner and my granddaughter in their new home in Devon.","I am feeling anxious, angry, short tempered and not a very nice person to be around at the moment.",anxiety,4,6,4,6,6,5,4,3,5,627,146
