id,textart,text,sentiment_gs,cleaned_text,sentiment_nb,sentiment_svm
Akk_Tweet_374,Tweet,Am 26. Mai geht es um viel: Es geht um #unserEuropa! #26MaiCDU,0,mai gehen gehen unsereuropa maicdu,1,1
Kurz_Tweet_329,Tweet,Wir fordern daher Zugang zu den Reaktoren für internationale Inspektoren. Das war heute auch Thema bei meinem Gespräch mit dem slowakischen Premierminister Peter Pellegrini in Rumänien.,0,fordern zugang reaktor international inspektor heute thema gespräch slowakisch premierminister peter pellegrini rumänieen,0,0
Rendi-Wagner_Tweet_61,Tweet,"Das sind unsere Vorschläge für 100.000 Arbeitsplätze: Vorziehen der Steuerreform, um kleine und mittlere Einkommen zu entlasten. Anreize für Unternehmen, die in Arbeitsplätze investieren. Investitionen in die öffentliche Infrastruktur und die Rückkehr der Aktion 20.000!",0,vorschläge arbeitsplatz vorziehen steuerreform klein mittler einkommen entlasten anreiz unternehmen arbeitsplätz investi investition öffentlich infrastruktur rückkehr aktion,0,0
Maas_Tweet_71,Tweet,"Gemeinsam mit den @UN haben wir Starthilfe für die „Peace Support Facility for Yemen“ geleistet, um vertrauensbildende Maßnahmen zwischen den Konfliktparteien zu befördern. Dem dient nun auch das deutsche Engagement bei UNMHA. #strongerUNited",0,gemeinsam un starthilf peac support facility for yemen leisten vertrauensbildend maßnahmen konfliktpartein befördern dienen deutsch engagement unmha strongerunited,1,1
Aeschi_Tweet_222,Tweet,#Overtourism am Mount Everest,0,overtourism mount everest,0,0
Aeschi_Tweet_42,Tweet,#Begrenzungsinitiative #BGIJa! Zuwanderung endlich wieder eigenständig steuern. Nein zu immer noch mehr Ausländerkriminalität!,0,begrenzungsinitiativ bgija zuwanderung endlich eigenstendig steuern ausländerkriminalitaten,-1,-1
Fehr_tweet_116,Tweet,Interessante Fakten. @statistik_zh @KantonZuerich,0,interessant faken statistikzh kantonzuerich,1,1
Fehr_tweet_115,Tweet,"Fussballverband verfügt Stadionverbot wegen sexistischer Transparente, wie es @akanji_sarah gefordert hat. Eine erste richtige Massnahme. @fcwinti @SFV_ASF",0,fussballverband verfügen stadionverbot sexistisch transparenen akanjisarah fordern erst richtig massnahme fcwinti sfvasf,1,1
Lindner_Tweet_509,Tweet,"Klein gedacht, lieber @ulfposh. Als glücklicher Aktionär von @BeyondMeat freue ich mich über den Erfolg! Als liberaler Politiker bin ich aber weiter für Wahlfreiheit der Konsumenten. Fleischkonsum kann klimaneutral werden - durch technische/natürliche Kompensation de CO2. CL",1,klein denken lieb ulfposh glücklich aktionär beyondmeat freuen erfolg liberal politiker wahlfreiheit konsument fleischkonsum klimaneutral technischenatürlich kompensation de co cl,1,1
Rickli_Tweet_47,Tweet,Die Intoleranten werden ja immer schlimmer.,-1,intolerant ja schlimmer,-1,0
Fehr_tweet_70,Tweet,"Interessante Headline für ein Gesetz, das markante Erleichterungen für bringt. In ihrem Communiqu hält die ZH Regierung fest, dass sie Einbürgerungen als Stärkung der Demokratie sieht: Hier der Wortlaut:",0,interessanen headline gesetz markant erleichterung bringen communiqu halten zh regierung fest einbürgerungen stärkung demokratie sehen wortlaut,0,1
Maas_Tweet_147,Tweet,"Manch einer in der Union mag es #Sozialklimbim nennen. Wir finden die #Grundrente ist Ausdruck des Respekts und der Anerkennung für alle, die 35 Jahre hart gearbeitet haben. 3 Mio. Menschen, davon 80% Frauen, haben ein Recht darauf. Das Konzept ist solide und gerecht finanziert.",1,manch union mögen sozialklimbim nennen finden grundrent ausdruck respekt anerkennung jahr hart arbeiten mio menschen davon frauen recht darauf konzept solide rechen finanziert,-1,1
Fehr_tweet_31,Tweet,"Hier hat Zürich vorwärts gemacht! GV von ""queer altern"" - eine Organisation, die zeigt, dass eine vielfältige Gesellschaft eine freiere Gesellschaft ist. Meine Grussworte: #jizh, @marco_denoth #RRWahl19 #Regenbogen",1,zürich vorwärts gv queer alt organisation zeigen vielfältige sellschafen frei sellschafen grusswort jizh marcodenoth rrwahl regenbogen,1,0
Maas_Tweet_115,Tweet,"Mit Bestürzung sehen wir die Berichte über das Flugzeugunglück in #Moskau. Unsere Gedanken sind bei den zahlreichen Opfern und Verletzten. Unser tief empfundenes Beileid gilt allen Russinnen und Russen, die bei diesem Unglück einen geliebten Menschen verloren haben.",-1,bestürzung sehen bericht flugzeugunglück moskau gedank zahlreich opfer verletzen empfunden beileid gelten russinnen russen unglück geliebt mensch verlieren,-1,-1
Rendi-Wagner_Tweet_103,Tweet,"Im Interview mit der Tageszeitung @welt habe ich klargemacht: Die Beteuerungen von @ManfredWeber, seinem wichtigsten Unterstützer Sebastian Kurz und der Europäischen Konservativen, nicht mit Rechten zusammenzuarbeiten, sind völlig unglaubwürdig. #EUWahl19",-1,interview tageszeitung weln klargemachen beteuerung manfredweber wichtig unterstützer sebastian kurz europäisch konservativ recht zusammenzuarbeiten völlig unglaubwürdig euwahl,-1,-1
Aeschi_Tweet_143,Tweet,"Sonntagsbrunch der SVP Cham mit Regierungsrat und Ständeratskandidat Heinz Tännler, Nationalrat @UGiezendanner und mir. @SVPch #freiundsicher",0,sonntagsbrunch svp cham regierungsrat ständeratskandidat heinz tännl nationalrat ugiezendann svpch freiundsich,-1,-1
Fehr_tweet_98,Tweet,Schlechtes Foto - SUPER Liste‼ Herzliche Gratulation allen Nominierten @spzuerich #wahlen19,1,schlecht foto super list herzlich gratulation nominiert spzuerich wahlen,1,1
Rendi-Wagner_Tweet_72,Tweet,"Es ist mehr als bedenklich, wie Schwarz-Blau mit 500.000 ÖsterreicherInnen umgeht, die sich für die Anliegen des @frauenvb eingesetzt haben. In uns habt ihr immer eine Partnerin für Gleichberechtigung, Chancengerechtigkeit und Selbstbestimmung an eurer Seite! #OeNR #fvbNR",0,bedenklich schwarzblau österreicherinnen umgehen anliegen frauenvb einsetzen partnerin gleichberechtigung chancengerechtigkeit selbstbestimmung oenr fvbnr,-1,-1
Strache_Tweet_23,Tweet,Wir wünschen Euch ALLEN einen hoffentlich wundervollen Ostermontag,1,wünschen hoffentlich wundervolle ostermontiegen,1,0
Fehr_tweet_37,Tweet,Weltweite Solidarität mit den Opfern von #christchurch. Wir gedenken der Opfer und zeigen uns solidarisch mit den muslimischen Gemeinschaften. Das schreckliche Ereignis zeigt: Wir müssen den Schutz für ALLE verletzlichen Gruppen ausbauen. via @srfnews,-1,weltweit solidaritaten opfern christchurch denken opfer zeigen solidarisch muslimischen gemeinschaften schrecklich ereignen zeigen schutz verletzlich gruppe ausbauen via srfnews,-1,-1
Kurz_Tweet_393,Tweet,Congratulations to @narendramodi for a formidable victory at the recent parliamentary elections in #India - the largest democratic exercise in human history! I look forward to further deepening our excellent bilateral relations.,1,congratulations To narendramodi for formidable victory at the recenen parliamentary elections india the largesen democratic exercise human history look forward to further deepenehen our excellenen bilateral relations,1,1
Kurz_Tweet_99,Tweet,"Die gestrigen Abstimmungen im britischen Unterhaus haben erneut keine Klarheit gebracht. Fast drei Jahre nach dem #Brexit Referendum ist es nun aber an der Zeit, auch einmal für und nicht nur immer gegen etwas zu sein.",-1,gestrig abstimmung britisch unterhaus erneuen klarheit bringen drei jahr brexit referendum zeit,0,-1
Rendi-Wagner_Tweet_132,Tweet,"In den letzten Tagen wurden Bilder von Holocaust-Überlebenden geschändet. Danke an die couragierten Menschen, die die Ausstellung nun rund um die Uhr bewachen. Das ist ein deutliches Zeichen gegen das Vergessen. Ich habe ihnen heute Verstärkung vorbeigebracht. #GegenDasVergessen",0,letzt tagen Bild holocaustüberlebenden schänden dank couragiert mensch ausstellung rund uhr bewachen deutlich zeichen vergessen heute Verstärkung vorbeigebrachen gendasvergessen,1,0
Strache_Tweet_11,Tweet,Die Freiheitliche Forderung nach Abschaffung der ORF-GIS-Zwangsgebühren in dieser Regierungsperiode wird von der Mehrheit der österreichischen Bevölkerung unterstützt!,0,freiheitlich forderung abschaffung orfgiszwangsgebühren regierungsperiode mehrheit österreichisch bevölkerung unterstützen,0,0
Strache_Tweet_8,Tweet,Wir ziehen die Mindestsicherung Neu auch gegen den Widerstand des rot-grünen Wiens durch!,-1,zeihen mindestsicherung neu widerstand rotgrün wiens,-1,0
Maas_Tweet_91,Tweet,"2. Ins Zentrum gehören die Opfer sexualisierter Gewalt! Die Resolution ruft alle VN-Mitgliedstaaten dazu auf, sie zu unterstützen. (3/4)",0,zentrum gehören opfer sexualisierter walen resolution rufen vnmitgliedstaat unterstützen,0,0
Fehr_tweet_107,Tweet,"@mbinswanger @natasja_sommer @JudithWittwer @tagesanzeiger Ja und er wird ja dann auch von seiner Frau getröstet, wenn ihm Jetemy eins auf die Nase haut. Und ja, er geht mit grünen Schuhen zum Einkaufen und sein neuer Lippenstift ist plötzlich so versöhnlich.",-1,mbinswang natasjasommer judithwittwer tagesanzeig ja ja frau trösten jetemy nase haut ja gehen grün schuh einkaufen neu lippenstift plötzlich versöhnlich,-1,1
Fehr_tweet_82,Tweet,"Ich freue mich sehr, dass ich für weitere vier Jahre der Direktion der Justiz und des Innern vorstehen darf . Zürich macht vorwärts, daran will ich weiterarbeiten. Zusammen mit den rund 2000 Mitarbeitenden, die jeden Tag tolle Arbeit leisten! #jizh #fürschi @kantonzuerich",1,freuen vier jahr direktion justiz inner vorstehen dürfen zürich vorwärts daran weiterarbeiten rund mitarbeitend jed tiegen toll arbeit leisten jizh fürschi kantonzuerich,1,1
Lindner_Tweet_223,Tweet,"""Alleine in Berlin gehen 11.000 nicht gebaute Wohnungen auf das Konto der Verhinderer von den Grünen!"": habe eben im #Bundestag zu #Enteignungen &amp; #Mietenwahnsinn gesprochen. CL",-1,alleine berlin gehen gebaut wohnung konto verhinder grün eben bundestag enteignungen amp mietenwahnsinn sprechen cl,0,0
Kurz_Tweet_264,Tweet,"I would like to offer my warmest congratulations to the people of #Japan at the occasion of the enthronement ceremony of H.I.H Emperor #Naruhito. I am happy that Japan and Austria are connected through a bond of friendship, celebrating 150 years of diplomatic relations this year.",1,would lik to offer my warmest congratulations To the people of japan at the occasion of the enthronemenen ceremony of hihen emperören naruhito happy that japan and austria are connected through bond of friendship celebrating years of diplomatic relations this year,1,1
Kurz_Tweet_284,Tweet,"Es braucht einen neuen zeitgemäßen #EU-Vertrag mit klaren Sanktionen gegen Mitglieder, die Schulden machen, Strafen für Länder, die illegale Migranten nicht registrieren und durchwinken, sowie harte Konsequenzen bei Verstößen gegen d Rechtsstaatlichkeit und liberale Demokratie.",-1,brauchen neu zeitgemäß euvertrag klar sanktion mitglieder schuld strafen länder illegal migrant registrieren durchwinken sowie hart konsequenz verstöß rechtsstaatlichkeit liberal demokratie,0,0
Strache_Tweet_10,Tweet,"Ich bin tief betroffen, wie die SPÖ in Wien mit betagten und pflegebedürftigen Wienerinnen und Wienern umgeht. Wenn diese Menschen aus ihrer Betreuungseinrichtung geschmissen werden, dann ist das eine sozialpolitische Schande.",-1,betroffen spö weinen betagt pflegebedürftig wienerinnen wienern zeihen menschen betreuungseinrichtung schmissen sozialpolitisch schand,-1,-1
Aeschi_Tweet_242,Tweet,Das Konzept der @NZZ kennen wir: Das #institutionelleRahmenabkommen mit der EU unterzeichnen. Dann sinken die Schweizer Löhne und der Schweizer Wohlstand auf EU-Niveau und im Kielwasser werden sich auch die Preise an EU-Niveau anpassen. #InstANein! @SVPch #freiundsicher,-1,konzept nzz kennen institutionellerahmenabkommen eu unterzeichnen sinken schweizer lohn schweizer wohlstand euniveau kielwasser preise euniveau anpassen instanein svpch freiundsich,-1,-1
Strache_Tweet_7,Tweet,"Die #FPÖ wirkt in der Regierung! Wir wollen solche Personen NIE mehr in unserem Land haben und müssen alles dafür tun, damit sie auch nicht mehr hierher kommen können!",-1,fpö wirken regierung solch Person nie lehen dafür hierher kommen,-1,-1
Kurz_Tweet_307,Tweet,"Wir danken der @deutschetelekom für Ihr Vertrauen in den #Standort #Österreich und freuen uns auf die Zusammenarbeit mit #Magenta, um Österreichs Vorreiterrolle im Bereich #5G weiter auszubauen.",1,danken deutschetelekom vertrau standort österreich freuen zusammenarbeit magenta österreichs vorreiterroll bereich auszubauen,1,1
Kurz_Tweet_362,Tweet,"Nach Investments von #ABB, @Infineon oder der @deutschetelekom ist die Entscheidung der #OMV, einem der wichtigsten global tätigen und erfolgreichsten österreichischen Unternehmen, ein weiterer großer Erfolg für den Standort #Österreich.",1,investments abb infineon deutschetelekom Entscheidung omv wichtig global tätig erfolgreich österreichischen unternehmen groß erfolg standort österreich,1,1
Maas_Tweet_132,Tweet,"Darum freue ich mich, dass heute im Auswärtigen Amt das europäische Netzwerk „Combatting Antisemitism Through Education“ gestartet ist. Den Kampf gegen Antisemitismus werden wir auch zu einem Schwerpunkt unserer EU-Ratspräsidentschaft im kommenden Jahr machen. (3/3)",1,freuen heute auswärtig amt europäisch netzwerk combattehen antisemitism through education starten kampf antisemitismus schwerpunkt euratspräsidentschaft kommend Jahr,1,1
Aeschi_Tweet_35,Tweet,Einzig die SVP lehnt die Kohäsions-Milliardenzahlung an die EU ab! Die Schweiz darf sich nicht erpressen lassen und plötzlich für den gegenseitigen Marktzugang einseitige Geldzahlungen leisten,-1,einzig svp lehnen kohäsionsmilliardenzahlung eu Schweiz dürfen erpressen lassen plötzlich gegenseitigen marktzugang einseitig ldzahlungen leisten,-1,-1
Lindner_Tweet_261,Tweet,An alle Franzosen: Wir weinen mit Euch! A tous les Franais: Nous pleurons avec vous! CL #NotreDame #Paris,-1,franzos weinen tous franais nous pleuron avec vous cl notredamen paris,-1,-1
Maas_Tweet_69,Tweet,"3500 Leute starben im Nordirlandkonflikt. Die Grenzposten waren eins der Hauptangriffsziele. Erst mit dem #Karfreitagsabkommen heute vor 21 Jahren kam der Frieden. Beim #Brexit müssen wir alles tun, dass kein neues Gewaltrisiko entsteht und gemeinsam eine harte Grenze verhindern.",-1,leute sterben nordirlandkonflikt grenzpost hauptangriffsziel erst karfreitagsabkommen heute jahren kommen frieden brexit neu gewaltrisiko entstehen gemeinsam hart grenze verhindern,0,1
Lindner_Tweet_175,Tweet,"Ich bin überzeugter Organspender. Die Widerspruchslösung von @jensspahn ist aber ein Einschnitt in freie Selbstbestimmung der Menschen und läuft darauf hinaus, dass Schweigen Zustimmung ist. Besser wäre: mehr Information und aktives Nachfragen beim Behördengang. CL #Organspende",0,überzeugter organspend widerspruchslösung jensspahn einschneiden frei selbstbestimmung mensch laufen darauf hinaus schweig zustimmung information aktiv nachfragen behördengang cl organspend,0,0
Aeschi_Tweet_95,Tweet,"Danke für die Unterstützung, Camille. Natürlich braucht es eine zweite Folge: Wenn dir Abstimmungscouverts in den Haushaltungen sind. Weiter so!",1,danken Unterstützung camill natürlich brauchen zweit folge abstimmungscouverts haushaltung,1,1
Strache_Tweet_15,Tweet,"Eine emotional geführte Debatte. Doch Asylwerber erhalten in Österreich eine Vollversorgung durch die österreichischen Steuerzahler! Mit den 1,50 pro Stunde können sie sich zusätzlich ehrenamtlich einbringen und damit der Gesellschaft etwas zurückgeben!",0,emotional geführt debaben asylwerber erhalten österreich vollversorgung österreichisch steuerzahler stunde zusätzlich ehrenamtlich einbringen sellschafen zurückgeben,0,0
Kurz_Tweet_275,Tweet,"#Bayern ist ein wichtiger Verbündeter im #EU-Wahlkampf. Wir unterstützen @ManfredWeber voll &amp;ganz, d ein ausgezeichneter Kommissionspräsident wäre. Wir brauchen ein #Europa, das stark ist in großen Fragen, wie dem Schutz d Außengrenzen &amp; sich in kleinen Fragen mehr zurücknimmt.",1,bayern wichtig verbündeter euwahlkampf unterstützen manfredweber voll ampganz ausgezeichneter kommissionspräsident brauchen europa stark groß fragen schutz außengrenzen amp klein fragen zurücknehmen,1,1
Maas_Tweet_131,Tweet,40 % der jungen Deutschen wissen laut einer CNN-Studie kaum etwas über den millionenfachen Massenmord an den europäischen Juden. Mir bereitet das große Sorge. Das Verständnis der eigenen Geschichte ist mehr als nur Wissen um die Vergangenheit. #EuropeAgainstAntisemitism (1/3),-1,deutsch wissen laut cnnstudie millionenfachen massenmord europäisch jude bereiten groß sorge verständnis eigen geschichen wissen vergangenheit europeagainstantisemitism,-1,0
Kurz_Tweet_238,Tweet,"Es war beeindruckend heute, im Rahmen des Empfangs der Österreichischen #Wirtschaft in #Peking, eine Delegation aus ihrem Mutterkloster in #Henan kennenzulernen und aus nächster Nähe zu erleben. Vielen Dank!",1,beeindruckend heute rahmen empfangs österreichisch wirtschaft peking delegation mutterkloster henan kennenlernen nah nähe erleben dank,1,1
Kurz_Tweet_46,Tweet,"#Amtswege sind oft kompliziert und zeitaufwendig. Mit haben wir nun eine #Serviceplattform geschaffen, die den #Kontakt zwischen Staat und Bürgerinnen &amp; Bürgern direkt und #digital möglich macht.",0,amtswegen komplizieren zeitaufwendig serviceplattform schaffen kontakt staat bürgerinnen amp bürgern direkt digital möglich,0,0
Fehr_tweet_23,Tweet,"Viel gibt es dazu nicht zu sagen: Nachdenklich macht mich, dass es aus dem „Westen“ kaum internationale Solidaritätsbekundungen gibt. Weil die Opfer Muslime sind? @NZZ",-1,geben sagen nachdenklich westen international solidaritätsbekundung geben opfer muslime nzz,-1,-1
Fehr_tweet_28,Tweet,"Liebe Junge, geht wählen. Kann ja nicht sein, dass 50 über eure Zukunft entscheidet! #Wahlen19",0,lieben gehen wählen ja zukunft entscheiden wahlen,-1,1
Aeschi_Tweet_28,Tweet,@KathyRiklin @sonntagszeitung @HPPortmann: Die @FDP_Liberalen will möglichst noch heute das #Rahmenabkommen unterzeichnen und Du hast immer für den #EWR-Beitritt der Schweiz plädiert. Ich sehe hier keine Schnittmenge...,-1,kathyriklin sonntagszeitung hpportminnen fdpliberale möglichst heute rahmenabkommen unterzeichnen ewrbeitritt Schweiz plädieren sehen schnittmeng,-1,-1
Maas_Tweet_6,Tweet,"Was #Afghanistan an Verbesserungen bei Menschenrechten und der Rechtsstaatlichkeit, aber auch für viele vor allem junge Frauen in den letzten Jahren erreicht hat, gilt es zu bewahren. Dafür machen wir uns stark, denn das ist auch Voraussetzung für unsere künftige Zusammenarbeit.",1,afghanistan verbesserung menschenrechen rechtsstaatlichkeit frauen letzt jahren erreichen gelten bewahren dafür stark Voraussetzung künftige zusammenarbeit,0,0
Maas_Tweet_9,Tweet,"Mit dem #brexitvote in UK rücken wir einem No-Deal-#Brexit immer näher. Wer das Abkommen ablehnt, spielt auf fahrlässige Weise mit dem Wohl der BürgerInnen und der Wirtschaft. Klar hoffen wir auch die kommenden 17 Tage noch, dass wir den ungeregelten Brexit vermeiden können.",-1,brexitvot uk rücken nodealbrexit nah abkommen ablehnen spielen fahrlässig weise wohl bürgerinnen wirtschaft klar hoffen kommend tagen ungeregelt brexit vermeiden,-1,0
